"","hormone1","hormone2","hormone3","hormone4","hormone5","hormone6","hormone7","hormone8","hormone10_generated"
"hormone1",1,-0.221194119411941,0.0601020102010201,0.164812481248125,-0.0504170417041704,0.0911011101110111,0.00327632763276328,-0.0205220522052205,0.0357995799579958
"hormone2",-0.221194119411941,1,0.0138613861386139,-0.204608460846085,0.08,0.207992799279928,0.035007500750075,-0.0937653765376538,-0.18046204620462
"hormone3",0.0601020102010201,0.0138613861386139,1,0.0121092109210921,0.23001500150015,0.153459345934593,0.0362076207620762,0.0309390939093909,-0.0570537053705371
"hormone4",0.164812481248125,-0.204608460846085,0.0121092109210921,1,0.0847284728472847,-0.0734953495349535,-0.186270627062706,0.0847284728472847,0.186558655865587
"hormone5",-0.0504170417041704,0.08,0.23001500150015,0.0847284728472847,1,0.187854785478548,-0.0568976897689769,0.00310831083108311,0.095001500150015
"hormone6",0.0911011101110111,0.207992799279928,0.153459345934593,-0.0734953495349535,0.187854785478548,1,-0.136849684968497,0.0614341434143414,-0.0578937893789379
"hormone7",0.00327632763276328,0.035007500750075,0.0362076207620762,-0.186270627062706,-0.0568976897689769,-0.136849684968497,1,-0.110855085508551,-0.123192319231923
"hormone8",-0.0205220522052205,-0.0937653765376538,0.0309390939093909,0.0847284728472847,0.00310831083108311,0.0614341434143414,-0.110855085508551,1,-0.108646864686469
"hormone10_generated",0.0357995799579958,-0.18046204620462,-0.0570537053705371,0.186558655865587,0.095001500150015,-0.0578937893789379,-0.123192319231923,-0.108646864686469,1
