"variable","group","n","mean","sd","median","min","max","q25","q75","best_dist","param1_name","param1_value","param2_name","param2_value","BIC_normal","BIC_lognormal","BIC_exponential"
"lipid_pero2","1 - tumour",160,1.4483,0.6162,1.255,0.22,3.26,1.02,1.83,"lognormal","meanlog",0.2759,"sdlog",0.4506,308.287,297.4201,443.5974
"lipid_pero3","0 - no tumour",987,0.6816,0.3739,0.59,0.07,1.93,0.39,0.88,"lognormal","meanlog",-0.5334,"sdlog",0.5621,871.7342,624.6882,1224.2679
"lipid_pero3","1 - tumour",160,0.7552,0.4212,0.64,0.09,1.75,0.43,1.03,"lognormal","meanlog",-0.4478,"sdlog",0.6073,186.5571,161.2942,235.2491
"lipid_pero4","0 - no tumour",987,1.4319,0.8026,1.32,0.23,12.4,0.93,1.8,"lognormal","meanlog",0.2359,"sdlog",0.5042,2379.8114,1928.5948,2689.5437
"lipid_pero4","1 - tumour",160,1.4952,0.7064,1.395,0.26,3.66,0.98,1.805,"lognormal","meanlog",0.2871,"sdlog",0.4975,352.0042,332.6604,453.8091
"lipid_pero5","0 - no tumour",987,11.8792,3.6087,11.66,4.04,27.8,9.235,14.395,"lognormal","meanlog",2.4265,"sdlog",0.3177,5347.0869,5340.8356,6866.123
"lipid_pero5","1 - tumour",160,11.7644,3.2827,11.96,1.75,18.55,9.71,13.9525,"normal","mean",11.7644,"sd",3.2724,843.5768,889.854,1113.9012
"lipids1","0 - no tumour",987,0.9573,0.3872,0.91,0.2,2.73,0.685,1.18,"lognormal","meanlog",-0.1254,"sdlog",0.4123,940.8704,818.4602,1894.7626
"lipids1","1 - tumour",160,0.9846,0.3704,0.98,0.27,2.19,0.6875,1.21,"lognormal","meanlog",-0.0911,"sdlog",0.4026,145.4233,143.9037,320.117
"lipids2","0 - no tumour",987,4.4614,0.9107,4.33,2.43,8.82,3.81,5,"lognormal","meanlog",1.4755,"sdlog",0.1989,2629.1056,2539.4474,4932.9416
"lipids2","1 - tumour",160,4.7636,0.9623,4.63,3.08,8.4,4.07,5.34,"lognormal","meanlog",1.5418,"sdlog",0.194,450.9101,432.8116,824.5938
"lipids3","0 - no tumour",987,1.1042,0.2767,1.06,0.41,2.01,0.91,1.27,"lognormal","meanlog",0.068,"sdlog",0.2514,277.8224,223.6344,2176.6405
"lipids3","1 - tumour",160,1.115,0.2665,1.09,0.62,2,0.92,1.2625,"lognormal","meanlog",0.0811,"sdlog",0.236,39.9926,28.0581,359.9086
"lipids4","0 - no tumour",987,2.928,0.8745,2.81,0.82,7.01,2.29,3.405,"lognormal","meanlog",1.0307,"sdlog",0.2979,2549.0837,2458.5745,4101.5701
"lipids4","1 - tumour",160,3.1979,0.945,3.125,1.36,6.59,2.4975,3.665,"lognormal","meanlog",1.1204,"sdlog",0.2907,445.0938,427.3866,697.0771
"сarb_metabolism","0 - no tumour",987,4.8951,0.8066,4.8,3.13,11.5,4.3,5.38,"lognormal","meanlog",1.5756,"sdlog",0.1572,2389.4323,2272.4839,5116.0562
"сarb_metabolism","1 - tumour",160,4.8601,0.7077,4.8,3.04,6.59,4.3775,5.3425,"normal","mean",4.8601,"sd",0.7054,352.5515,354.0264,831.0116
